date,product_type,region,daily_demand,warehouse_stock,lead_time_days,reorder_point,recommended_reorder_qty
2024-01-07,solar_panel,Northeast,292,928,7,438,0
2024-01-07,solar_roof,West,48,938,3,72,0
2024-01-07,solar_roof,Central,55,1208,9,82,0
2024-01-07,solar_roof,South,52,236,14,78,0
2024-01-07,solar_roof,Northeast,48,416,5,72,0
2024-01-07,megapack,West,10,596,13,15,0
2024-01-07,megapack,Central,5,644,11,7,0
2024-01-07,megapack,South,14,917,6,21,0
2024-01-07,megapack,Northeast,11,1084,7,16,0
2024-01-07,powerwall,West,94,1090,7,141,0
2024-01-07,powerwall,Central,108,768,9,162,0
2024-01-07,powerwall,South,84,1134,12,126,0
2024-01-07,powerwall,Northeast,98,434,13,147,0
2024-01-08,solar_panel,West,276,1297,12,414,0
2024-01-08,solar_panel,Central,306,1397,10,459,0
2024-01-08,solar_panel,South,268,833,4,402,0
2024-01-08,solar_panel,Northeast,270,538,10,405,0
2024-01-08,solar_roof,West,47,699,3,70,0
2024-01-08,solar_roof,Central,56,644,14,84,0
2024-01-08,solar_roof,South,51,238,5,76,0
2024-01-08,solar_roof,Northeast,45,1281,6,67,0
2024-01-08,megapack,West,5,1224,5,7,0
2024-01-08,megapack,Central,9,1023,3,13,0
2024-01-08,megapack,South,11,1482,9,16,0
2024-01-08,megapack,Northeast,3,935,10,4,0
2024-01-08,powerwall,West,97,572,10,145,0
2024-01-08,powerwall,Central,89,897,14,133,0
2024-01-08,powerwall,South,102,240,6,153,0
2024-01-08,powerwall,Northeast,101,660,14,151,0
2024-01-09,solar_panel,West,288,1476,8,432,0
2024-01-09,solar_panel,Central,339,649,12,508,0
2024-01-09,solar_panel,South,333,1076,7,499,0
2024-01-09,solar_panel,Northeast,279,262,11,418,156
2024-01-09,solar_roof,West,58,1322,3,87,0
2024-01-09,solar_roof,Central,54,970,7,81,0
2024-01-09,solar_roof,South,52,913,12,78,0
2024-01-09,solar_roof,Northeast,47,656,3,70,0
2024-01-09,megapack,West,17,648,3,25,0
2024-01-09,megapack,Central,13,294,10,19,0
2024-01-09,megapack,South,10,467,3,15,0
2024-01-09,megapack,Northeast,10,962,11,15,0
2024-01-09,powerwall,West,103,1118,7,154,0
2024-01-09,powerwall,Central,103,634,9,154,0
2024-01-09,powerwall,South,87,1005,4,130,0
2024-01-09,powerwall,Northeast,103,1058,5,154,0
2024-01-10,solar_panel,West,327,365,3,490,125
2024-01-10,solar_panel,Central,315,958,12,472,0
2024-01-10,solar_panel,South,300,1183,7,450,0
2024-01-10,solar_panel,Northeast,291,310,11,436,126
2024-01-10,solar_roof,West,49,1099,10,73,0
2024-01-10,solar_roof,Central,54,1418,13,81,0
2024-01-10,solar_roof,South,53,833,5,79,0
2024-01-10,solar_roof,Northeast,32,803,12,48,0
2024-01-10,megapack,West,6,844,11,9,0
2024-01-10,megapack,Central,9,1301,12,13,0
2024-01-10,megapack,South,12,448,11,18,0
2024-01-10,megapack,Northeast,12,306,3,18,0
2024-01-10,powerwall,West,93,824,5,139,0
2024-01-10,powerwall,Central,90,838,10,135,0
2024-01-10,powerwall,South,99,277,10,148,0
2024-01-10,powerwall,Northeast,107,898,10,160,0
2024-01-11,solar_panel,West,278,1118,13,417,0
2024-01-11,solar_panel,Central,302,1005,5,453,0
2024-01-11,solar_panel,South,295,684,14,442,0
2024-01-11,solar_panel,Northeast,284,1011,11,426,0
2024-01-11,solar_roof,West,60,266,11,90,0
2024-01-11,solar_roof,Central,50,310,8,75,0
2024-01-11,solar_roof,South,52,947,5,78,0
2024-01-11,solar_roof,Northeast,47,891,12,70,0
2024-01-11,megapack,West,11,514,8,16,0
2024-01-11,megapack,Central,11,861,7,16,0
2024-01-11,megapack,South,6,715,13,9,0
2024-01-11,megapack,Northeast,5,1022,11,7,0
2024-01-11,powerwall,West,83,1263,7,124,0
2024-01-11,powerwall,Central,97,203,8,145,0
2024-01-11,powerwall,South,107,393,13,160,0
2024-01-11,powerwall,Northeast,102,525,12,153,0
2024-01-12,solar_panel,West,291,424,6,436,12
2024-01-12,solar_panel,Central,286,289,8,429,140
2024-01-12,solar_panel,South,304,1044,13,456,0
2024-01-12,solar_panel,Northeast,305,209,7,457,248
2024-01-12,solar_roof,West,46,520,7,69,0
2024-01-12,solar_roof,Central,49,1318,3,73,0
2024-01-12,solar_roof,South,58,533,7,87,0
2024-01-12,solar_roof,Northeast,42,1117,14,63,0
2024-01-12,megapack,West,14,1072,7,21,0
2024-01-12,megapack,Central,7,924,7,10,0
2024-01-12,megapack,South,13,773,6,19,0
2024-01-12,megapack,Northeast,8,601,10,12,0
2024-01-12,powerwall,West,99,999,5,148,0
2024-01-12,powerwall,Central,104,774,3,156,0
2024-01-12,powerwall,South,92,702,4,138,0
2024-01-12,powerwall,Northeast,101,1262,5,151,0
2024-01-13,solar_panel,West,297,1402,10,445,0
2024-01-13,solar_panel,Central,310,677,9,465,0
2024-01-13,solar_panel,South,313,1150,3,469,0
2024-01-13,solar_panel,Northeast,314,1064,8,471,0
2024-01-13,solar_roof,West,57,427,10,85,0
2024-01-13,solar_roof,Central,52,1484,6,78,0
2024-01-13,solar_roof,South,55,294,5,82,0
2024-01-13,solar_roof,Northeast,54,268,6,81,0
2024-01-13,megapack,West,7,749,8,10,0
2024-01-13,megapack,Central,9,501,13,13,0
2024-01-13,megapack,South,6,1157,4,9,0
2024-01-13,megapack,Northeast,11,1027,13,16,0
2024-01-13,powerwall,West,119,1356,10,178,0
2024-01-13,powerwall,Central,108,1213,5,162,0
2024-01-13,powerwall,South,118,1013,7,177,0
2024-01-13,powerwall,Northeast,87,766,5,130,0
2024-01-14,solar_panel,West,304,1168,7,456,0
2024-01-14,solar_panel,Central,292,316,12,438,122
2024-01-14,solar_panel,South,291,736,12,436,0
2024-01-14,solar_panel,Northeast,330,1433,13,495,0
2024-01-14,solar_roof,West,55,1138,13,82,0
2024-01-14,solar_roof,Central,49,863,11,73,0
2024-01-14,solar_roof,South,50,1384,3,75,0
2024-01-14,solar_roof,Northeast,56,865,14,84,0
2024-01-14,megapack,West,7,1048,6,10,0
2024-01-14,megapack,Central,10,541,14,15,0
2024-01-14,megapack,South,10,526,3,15,0
2024-01-14,megapack,Northeast,8,634,13,12,0
2024-01-14,powerwall,West,110,869,3,165,0
2024-01-14,powerwall,Central,102,789,5,153,0
2024-01-14,powerwall,South,99,1187,3,148,0
2024-01-14,powerwall,Northeast,97,1030,6,145,0
2024-01-15,solar_panel,West,282,999,12,423,0
2024-01-15,solar_panel,Central,288,286,9,432,146
2024-01-15,solar_panel,South,280,1231,3,420,0
2024-01-15,solar_panel,Northeast,302,642,10,453,0
2024-01-15,solar_roof,West,39,778,5,58,0
2024-01-15,solar_roof,Central,53,295,10,79,0
2024-01-15,solar_roof,South,58,364,8,87,0
2024-01-15,solar_roof,Northeast,43,1143,4,64,0
2024-01-15,megapack,West,7,1114,6,10,0
2024-01-15,megapack,Central,11,1014,7,16,0
2024-01-15,megapack,South,8,906,9,12,0
2024-01-15,megapack,Northeast,8,1104,4,12,0
2024-01-15,powerwall,West,112,1053,14,168,0
2024-01-15,powerwall,Central,100,327,3,150,0
2024-01-15,powerwall,South,99,720,10,148,0
2024-01-15,powerwall,Northeast,106,1424,8,159,0
2024-01-16,solar_panel,West,307,865,12,460,0
2024-01-16,solar_panel,Central,326,1004,13,489,0
2024-01-16,solar_panel,South,318,241,6,477,236
2024-01-16,solar_panel,Northeast,300,1376,8,450,0
2024-01-16,solar_roof,West,58,541,7,87,0
2024-01-16,solar_roof,Central,45,930,10,67,0
2024-01-16,solar_roof,South,44,1020,9,66,0
2024-01-16,solar_roof,Northeast,51,1180,14,76,0
2024-01-16,megapack,West,13,329,14,19,0
2024-01-16,megapack,Central,18,892,6,27,0
2024-01-16,megapack,South,13,210,6,19,0
2024-01-16,megapack,Northeast,12,1450,8,18,0
2024-01-16,powerwall,West,99,957,8,148,0
2024-01-16,powerwall,Central,107,950,6,160,0
2024-01-16,powerwall,South,89,1157,13,133,0
2024-01-16,powerwall,Northeast,103,353,4,154,0
2024-01-17,solar_panel,West,275,1240,3,412,0
2024-01-17,solar_panel,Central,300,241,11,450,209
2024-01-17,solar_panel,South,286,1452,14,429,0
2024-01-17,solar_panel,Northeast,310,1065,14,465,0
2024-01-17,solar_roof,West,47,1016,3,70,0
2024-01-17,solar_roof,Central,66,211,10,99,0
2024-01-17,solar_roof,South,56,1304,9,84,0
2024-01-17,solar_roof,Northeast,55,1423,11,82,0
2024-01-17,megapack,West,15,688,12,22,0
2024-01-17,megapack,Central,16,1180,8,24,0
2024-01-17,megapack,South,15,828,9,22,0
2024-01-17,megapack,Northeast,10,1134,5,15,0
2024-01-17,powerwall,West,95,1496,10,142,0
2024-01-17,powerwall,Central,91,1321,5,136,0
2024-01-17,powerwall,South,106,382,9,159,0
2024-01-17,powerwall,Northeast,81,696,6,121,0
2024-01-18,solar_panel,West,316,921,3,474,0
2024-01-18,solar_panel,Central,324,1093,4,486,0
2024-01-18,solar_panel,South,301,1262,6,451,0
2024-01-18,solar_panel,Northeast,262,517,7,393,0
2024-01-18,solar_roof,West,50,1462,11,75,0
2024-01-18,solar_roof,Central,56,539,7,84,0
2024-01-18,solar_roof,South,55,1365,10,82,0
2024-01-18,solar_roof,Northeast,45,492,11,67,0
2024-01-18,megapack,West,8,784,3,12,0
2024-01-18,megapack,Central,9,386,12,13,0
2024-01-18,megapack,South,13,909,9,19,0
2024-01-18,megapack,Northeast,10,1376,9,15,0
2024-01-18,powerwall,West,121,1084,5,181,0
2024-01-18,powerwall,Central,100,425,11,150,0
2024-01-18,powerwall,South,91,458,10,136,0
2024-01-18,powerwall,Northeast,95,1270,9,142,0
2024-01-19,solar_panel,West,295,261,3,442,181
2024-01-19,solar_panel,Central,280,980,10,420,0
2024-01-19,solar_panel,South,313,779,7,469,0
2024-01-19,solar_panel,Northeast,272,834,14,408,0
2024-01-19,solar_roof,West,49,937,14,73,0
2024-01-19,solar_roof,Central,63,1449,10,94,0
2024-01-19,solar_roof,South,44,1474,7,66,0
2024-01-19,solar_roof,Northeast,34,236,14,51,0
2024-01-19,megapack,West,14,314,12,21,0
2024-01-19,megapack,Central,11,239,13,16,0
2024-01-19,megapack,South,10,291,3,15,0
2024-01-19,megapack,Northeast,6,980,13,9,0
2024-01-19,powerwall,West,92,555,13,138,0
2024-01-19,powerwall,Central,108,756,12,162,0
2024-01-19,powerwall,South,99,625,12,148,0
2024-01-19,powerwall,Northeast,110,281,6,165,0
2024-01-20,solar_panel,West,303,494,4,454,0
2024-01-20,solar_panel,Central,289,1336,11,433,0
2024-01-20,solar_panel,South,307,899,10,460,0
2024-01-20,solar_panel,Northeast,318,666,9,477,0
2024-01-20,solar_roof,West,47,1445,7,70,0
2024-01-20,solar_roof,Central,54,930,3,81,0
2024-01-20,solar_roof,South,56,1085,3,84,0
2024-01-20,solar_roof,Northeast,35,409,4,52,0
2024-01-20,megapack,West,9,1147,14,13,0
2024-01-20,megapack,Central,8,1146,13,12,0
2024-01-20,megapack,South,12,937,6,18,0
2024-01-20,megapack,Northeast,9,238,9,13,0
2024-01-20,powerwall,West,111,1353,6,166,0
2024-01-20,powerwall,Central,105,1048,14,157,0
2024-01-20,powerwall,South,116,283,8,174,0
2024-01-20,powerwall,Northeast,108,1480,12,162,0
2024-01-21,solar_panel,West,325,1386,3,487,0
2024-01-21,solar_panel,Central,308,1494,14,462,0
2024-01-21,solar_panel,South,299,629,11,448,0
2024-01-21,solar_panel,Northeast,322,790,13,483,0
2024-01-21,solar_roof,West,58,586,14,87,0
2024-01-21,solar_roof,Central,52,1376,9,78,0
2024-01-21,solar_roof,South,40,720,8,60,0
2024-01-21,solar_roof,Northeast,44,925,8,66,0
2024-01-21,megapack,West,8,783,13,12,0
2024-01-21,megapack,Central,10,537,8,15,0
2024-01-21,megapack,South,8,1000,14,12,0
2024-01-21,megapack,Northeast,13,413,5,19,0
2024-01-21,powerwall,West,85,1088,8,127,0
2024-01-21,powerwall,Central,103,913,10,154,0
2024-01-21,powerwall,South,100,788,6,150,0
2024-01-21,powerwall,Northeast,96,1389,9,144,0
2024-01-22,solar_panel,West,283,342,4,424,82
2024-01-22,solar_panel,Central,340,834,8,510,0
2024-01-22,solar_panel,South,305,422,11,457,35
2024-01-22,solar_panel,Northeast,311,1307,13,466,0
2024-01-22,solar_roof,West,50,407,6,75,0
2024-01-22,solar_roof,Central,52,1094,5,78,0
2024-01-22,solar_roof,South,32,213,13,48,0
2024-01-22,solar_roof,Northeast,55,1108,11,82,0
2024-01-22,megapack,West,14,949,6,21,0
2024-01-22,megapack,Central,9,1113,5,13,0
2024-01-22,megapack,South,7,292,8,10,0
2024-01-22,megapack,Northeast,10,358,12,15,0
2024-01-22,powerwall,West,107,715,14,160,0
2024-01-22,powerwall,Central,102,1340,4,153,0
2024-01-22,powerwall,South,100,1131,8,150,0
2024-01-22,powerwall,Northeast,93,1460,4,139,0
2024-01-23,solar_panel,West,307,1066,12,460,0
2024-01-23,solar_panel,Central,311,1139,4,466,0
2024-01-23,solar_panel,South,282,1204,11,423,0
2024-01-23,solar_panel,Northeast,286,213,10,429,216
2024-01-23,solar_roof,West,52,1037,3,78,0
2024-01-23,solar_roof,Central,48,265,5,72,0
2024-01-23,solar_roof,South,53,659,10,79,0
2024-01-23,solar_roof,Northeast,48,486,13,72,0
2024-01-23,megapack,West,14,791,12,21,0
2024-01-23,megapack,Central,9,1480,7,13,0
2024-01-23,megapack,South,7,712,11,10,0
2024-01-23,megapack,Northeast,6,1344,13,9,0
2024-01-23,powerwall,West,107,364,3,160,0
2024-01-23,powerwall,Central,112,355,8,168,0
2024-01-23,powerwall,South,91,533,4,136,0
2024-01-23,powerwall,Northeast,86,481,3,129,0
2024-01-24,solar_panel,West,277,1282,7,415,0
2024-01-24,solar_panel,Central,274,1235,12,411,0
2024-01-24,solar_panel,South,295,1474,13,442,0
2024-01-24,solar_panel,Northeast,287,1118,14,430,0
2024-01-24,solar_roof,West,51,507,4,76,0
2024-01-24,solar_roof,Central,43,328,9,64,0
2024-01-24,solar_roof,South,54,716,8,81,0
2024-01-24,solar_roof,Northeast,45,1342,12,67,0
2024-01-24,megapack,West,9,1368,12,13,0
2024-01-24,megapack,Central,14,787,13,21,0
2024-01-24,megapack,South,16,1000,3,24,0
2024-01-24,megapack,Northeast,7,1276,7,10,0
2024-01-24,powerwall,West,102,1209,8,153,0
2024-01-24,powerwall,Central,94,1312,11,141,0
2024-01-24,powerwall,South,84,1170,6,126,0
2024-01-24,powerwall,Northeast,104,218,8,156,0
2024-01-25,solar_panel,West,326,1050,13,489,0
2024-01-25,solar_panel,Central,294,654,11,441,0
2024-01-25,solar_panel,South,291,910,7,436,0
2024-01-25,solar_panel,Northeast,294,504,3,441,0
2024-01-25,solar_roof,West,49,1490,5,73,0
2024-01-25,solar_roof,Central,42,1161,11,63,0
2024-01-25,solar_roof,South,47,1015,4,70,0
2024-01-25,solar_roof,Northeast,50,1377,11,75,0
2024-01-25,megapack,West,9,1174,14,13,0
2024-01-25,megapack,Central,10,542,8,15,0
2024-01-25,megapack,South,12,626,7,18,0
2024-01-25,megapack,Northeast,7,1340,14,10,0
2024-01-25,powerwall,West,124,250,6,186,0
2024-01-25,powerwall,Central,119,1163,7,178,0
2024-01-25,powerwall,South,93,950,14,139,0
2024-01-25,powerwall,Northeast,101,869,4,151,0
2024-01-26,solar_panel,West,295,289,11,442,153
2024-01-26,solar_panel,Central,301,1331,12,451,0
2024-01-26,solar_panel,South,316,1158,10,474,0
2024-01-26,solar_panel,Northeast,316,1151,6,474,0
2024-01-26,solar_roof,West,48,1395,10,72,0
2024-01-26,solar_roof,Central,50,340,9,75,0
2024-01-26,solar_roof,South,53,1443,11,79,0
2024-01-26,solar_roof,Northeast,57,1183,12,85,0
2024-01-26,megapack,West,9,351,3,13,0
2024-01-26,megapack,Central,7,249,10,10,0
2024-01-26,megapack,South,13,1425,11,19,0
2024-01-26,megapack,Northeast,5,1192,9,7,0
2024-01-26,powerwall,West,102,682,14,153,0
2024-01-26,powerwall,Central,113,861,7,169,0
2024-01-26,powerwall,South,104,1383,13,156,0
2024-01-26,powerwall,Northeast,92,708,11,138,0
2024-01-27,solar_panel,West,278,836,9,417,0
2024-01-27,solar_panel,Central,312,899,5,468,0
2024-01-27,solar_panel,South,305,487,9,457,0
2024-01-27,solar_panel,Northeast,315,552,6,472,0
2024-01-27,solar_roof,West,43,1293,11,64,0
2024-01-27,solar_roof,Central,52,1027,4,78,0
2024-01-27,solar_roof,South,54,359,7,81,0
2024-01-27,solar_roof,Northeast,45,266,8,67,0
2024-01-27,megapack,West,7,541,8,10,0
2024-01-27,megapack,Central,3,813,3,4,0
2024-01-27,megapack,South,8,652,11,12,0
2024-01-27,megapack,Northeast,6,869,11,9,0
2024-01-27,powerwall,West,111,1179,5,166,0
2024-01-27,powerwall,Central,118,547,5,177,0
2024-01-27,powerwall,South,118,485,7,177,0
2024-01-27,powerwall,Northeast,84,655,9,126,0
2024-01-28,solar_panel,West,322,659,8,483,0
2024-01-28,solar_panel,Central,280,680,9,420,0
2024-01-28,solar_panel,South,287,540,4,430,0
2024-01-28,solar_panel,Northeast,334,1034,6,501,0
2024-01-28,solar_roof,West,59,605,13,88,0
2024-01-28,solar_roof,Central,51,443,12,76,0
2024-01-28,solar_roof,South,50,877,4,75,0
2024-01-28,solar_roof,Northeast,53,333,5,79,0
2024-01-28,megapack,West,13,272,7,19,0
2024-01-28,megapack,Central,11,363,3,16,0
2024-01-28,megapack,South,11,580,6,16,0
2024-01-28,megapack,Northeast,10,1248,7,15,0
2024-01-28,powerwall,West,86,1163,11,129,0
2024-01-28,powerwall,Central,92,1235,14,138,0
2024-01-28,powerwall,South,94,1188,14,141,0
2024-01-28,powerwall,Northeast,112,242,4,168,0
2024-01-29,solar_panel,West,308,1210,7,462,0
2024-01-29,solar_panel,Central,315,841,13,472,0
2024-01-29,solar_panel,South,313,656,9,469,0
2024-01-29,solar_panel,Northeast,286,1379,5,429,0
2024-01-29,solar_roof,West,42,808,6,63,0
2024-01-29,solar_roof,Central,53,300,9,79,0
2024-01-29,solar_roof,South,44,619,14,66,0
2024-01-29,solar_roof,Northeast,58,967,5,87,0
2024-01-29,megapack,West,9,654,7,13,0
2024-01-29,megapack,Central,7,604,8,10,0
2024-01-29,megapack,South,13,1100,3,19,0
2024-01-29,megapack,Northeast,8,692,7,12,0
2024-01-29,powerwall,West,90,871,6,135,0
2024-01-29,powerwall,Central,96,594,7,144,0
2024-01-29,powerwall,South,112,709,6,168,0
2024-01-29,powerwall,Northeast,113,793,10,169,0
2024-01-30,solar_panel,West,317,753,7,475,0
2024-01-30,solar_panel,Central,342,391,3,513,122
2024-01-30,solar_panel,South,308,1353,14,462,0
2024-01-30,solar_panel,Northeast,269,441,12,403,0
2024-01-30,solar_roof,West,44,914,9,66,0
2024-01-30,solar_roof,Central,53,399,3,79,0
2024-01-30,solar_roof,South,52,1055,5,78,0
2024-01-30,solar_roof,Northeast,49,1423,11,73,0
2024-01-30,megapack,West,12,607,5,18,0
2024-01-30,megapack,Central,12,565,6,18,0
2024-01-30,megapack,South,8,698,14,12,0
2024-01-30,megapack,Northeast,9,972,8,13,0
2024-01-30,powerwall,West,108,1191,14,162,0
2024-01-30,powerwall,Central,115,559,11,172,0
2024-01-30,powerwall,South,93,416,12,139,0
2024-01-30,powerwall,Northeast,99,348,6,148,0
2024-01-31,solar_panel,West,305,550,14,457,0
2024-01-31,solar_panel,Central,280,472,10,420,0
2024-01-31,solar_panel,South,305,687,13,457,0
2024-01-31,solar_panel,Northeast,302,989,6,453,0
2024-01-31,solar_roof,West,44,885,3,66,0
2024-01-31,solar_roof,Central,53,1445,9,79,0
2024-01-31,solar_roof,South,60,1142,4,90,0
2024-01-31,solar_roof,Northeast,53,501,10,79,0
2024-01-31,megapack,West,10,402,8,15,0
2024-01-31,megapack,Central,13,1059,4,19,0
2024-01-31,megapack,South,10,1267,8,15,0
2024-01-31,megapack,Northeast,10,895,5,15,0
2024-01-31,powerwall,West,94,612,9,141,0
2024-01-31,powerwall,Central,102,1452,10,153,0
2024-01-31,powerwall,South,99,328,14,148,0
2024-01-31,powerwall,Northeast,85,1073,4,127,0
2024-02-01,solar_panel,West,284,501,9,426,0
2024-02-01,solar_panel,Central,306,311,11,459,148
2024-02-01,solar_panel,South,303,801,12,454,0
2024-02-01,solar_panel,Northeast,293,1214,8,439,0
2024-02-01,solar_roof,West,47,1243,12,70,0
2024-02-01,solar_roof,Central,60,1021,10,90,0
2024-02-01,solar_roof,South,42,1141,6,63,0
2024-02-01,solar_roof,Northeast,42,472,9,63,0
2024-02-01,megapack,West,14,535,12,21,0
2024-02-01,megapack,Central,11,965,10,16,0
2024-02-01,megapack,South,8,410,8,12,0
2024-02-01,megapack,Northeast,12,1197,7,18,0
2024-02-01,powerwall,West,109,631,6,163,0
2024-02-01,powerwall,Central,86,680,4,129,0
2024-02-01,powerwall,South,96,675,13,144,0
2024-02-01,powerwall,Northeast,108,1341,3,162,0
2024-02-02,solar_panel,West,296,1270,13,444,0
2024-02-02,solar_panel,Central,313,801,7,469,0
2024-02-02,solar_panel,South,282,249,5,423,174
2024-02-02,solar_panel,Northeast,241,453,8,361,0
2024-02-02,solar_roof,West,45,762,7,67,0
2024-02-02,solar_roof,Central,44,248,7,66,0
2024-02-02,solar_roof,South,49,1483,9,73,0
2024-02-02,solar_roof,Northeast,56,1008,8,84,0
2024-02-02,megapack,West,7,1184,6,10,0
2024-02-02,megapack,Central,3,1102,5,4,0
2024-02-02,megapack,South,8,1105,8,12,0
2024-02-02,megapack,Northeast,9,781,14,13,0
2024-02-02,powerwall,West,88,795,4,132,0
2024-02-02,powerwall,Central,116,395,4,174,0
2024-02-02,powerwall,South,97,838,4,145,0
2024-02-02,powerwall,Northeast,107,1143,9,160,0
2024-02-03,solar_panel,West,295,1095,11,442,0
2024-02-03,solar_panel,Central,300,1354,9,450,0
2024-02-03,solar_panel,South,283,570,11,424,0
2024-02-03,solar_panel,Northeast,282,828,6,423,0
2024-02-03,solar_roof,West,48,797,9,72,0
2024-02-03,solar_roof,Central,44,242,11,66,0
2024-02-03,solar_roof,South,57,1165,8,85,0
2024-02-03,solar_roof,Northeast,58,221,11,87,0
2024-02-03,megapack,West,12,634,9,18,0
2024-02-03,megapack,Central,10,770,12,15,0
2024-02-03,megapack,South,10,476,6,15,0
2024-02-03,megapack,Northeast,10,1083,8,15,0
2024-02-03,powerwall,West,105,981,13,157,0
2024-02-03,powerwall,Central,122,1249,3,183,0
